Player,Age,Year,playerID,MLS,Salary,leng,catcher,cornerIF,MIF,OF,DHonly,G,PA,wRC+,wSB,BsR,Off,Def,FRM,WAR,Dol,QOAmount,SalaryOverQO,QO,acceptQO
Mark Trumbo,30,2016,6876,6.027,9150000,1,0,0,0,1,0,159,667,125,0.1,-1.4,18.7,-20.5,NA,2.2,17.4,17200000,0,1,0
Neil Walker,30,2016,7539,6.166,10550000,1,0,0,1,0,0,113,458,124,-0.1,-1.6,11.7,9.3,NA,3.6,28.9,17200000,0,1,1
Yoenis Cespedes,30,2016,13110,5,27328046,2,0,0,0,1,0,132,543,136,-0.1,-0.5,23.4,-3.7,NA,3.7,29.9,17200000,1,1,0
Carlos Santana,31,2017,2396,7.115,12000000,1,0,1,0,0,0,154,667,115,0.1,0.8,12.9,-7,NA,2.9,22.8,17400000,0,1,0
Eric Hosmer,27,2017,3516,6.146,12250000,1,0,1,0,0,0,162,671,135,0.3,1.9,30.6,-12.8,NA,4,32.4,17400000,0,1,0
Lorenzo Cain,31,2017,9077,6.074,11000000,1,0,0,0,1,0,155,645,115,3.9,3.5,15,5.2,NA,4.2,33.6,17400000,0,1,0
Mike Moustakas,28,2017,4892,6.111,8700000,1,0,1,0,0,0,148,598,113,-0.3,-5.4,4.3,-4.4,NA,2,16.2,17400000,0,1,0
A.J. Pollock,30,2018,9256,6.052,7750000,1,0,0,0,1,0,113,460,111,1.6,3.9,9.9,0.9,NA,2.6,20.8,17900000,0,1,0
Bryce Harper,25,2018,11579,6.159,21625000,2,0,0,0,1,0,159,695,134,0.9,0.4,29.6,-18.1,NA,3.4,27.5,17900000,1,1,0
Yasmani Grandal,29,2018,11368,6.115,7900000,1,1,0,0,0,0,140,518,125,-0.3,-6.1,9.5,19.4,10.4,4.7,37.2,17900000,0,1,0
